Emotion,Average Score,Season
joy,0.05066282635430859,Season 1
fear,0.0601263866758024,Season 1
sadness,0.07965304076627802,Season 1
surprise,0.12229605770554561,Season 1
disgust,0.1389702775683757,Season 1
anger,0.16504453193451005,Season 1
neutral,0.38324687920350226,Season 1
joy,0.04983533295154457,Season 2
sadness,0.06370745397416883,Season 2
fear,0.06534112158586602,Season 2
surprise,0.11159527938385173,Season 2
disgust,0.13558655812956014,Season 2
anger,0.1664341124302205,Season 2
neutral,0.407500140602007,Season 2
joy,0.049465729612012906,Season 3
fear,0.06478085204403687,Season 3
sadness,0.06677739819786893,Season 3
surprise,0.11995490485222952,Season 3
disgust,0.14134794402897172,Season 3
anger,0.14827165531114828,Season 3
neutral,0.4094015153954074,Season 3
joy,0.051749022992438144,Season 4
fear,0.061512045046742694,Season 4
sadness,0.07343373774258026,Season 4
surprise,0.12063711981976534,Season 4
disgust,0.13899141994425357,Season 4
anger,0.15709722154066766,Season 4
neutral,0.39657943223487396,Season 4
joy,0.060131325318504514,Season 5
fear,0.062250721165730084,Season 5
sadness,0.07540575888593216,Season 5
surprise,0.1188221438484373,Season 5
disgust,0.1283918501273,Season 5
anger,0.1470806928760989,Season 5
neutral,0.4079175084474523,Season 5
joy,0.0499733536299402,Season 6
fear,0.062328669462006395,Season 6
sadness,0.08487644646055403,Season 6
surprise,0.1035051729993006,Season 6
disgust,0.11401773345618703,Season 6
anger,0.1622873017324452,Season 6
neutral,0.4230113208740418,Season 6
joy,0.046051877898525065,Season 7
sadness,0.06431105122717008,Season 7
fear,0.06584994618019921,Season 7
disgust,0.11734527728672789,Season 7
surprise,0.12032724593018392,Season 7
anger,0.149348133767394,Season 7
neutral,0.43676646669881714,Season 7
fear,0.05290561981454249,Season 8
joy,0.05616777863361511,Season 8
sadness,0.0707376054399183,Season 8
disgust,0.10475205562374774,Season 8
surprise,0.1165823911272501,Season 8
anger,0.17170764484751994,Season 8
neutral,0.42714690214745943,Season 8
